Timestamp,Download_Mbps,Upload_Mbps,Ping(Idle)_Latency_ms,Ping(Idle)_Jitter_ms,Packet_Loss,Server_Name,Server_Location,Download_Latency_ms,Upload_Latency_ms,Result_URL
"09/26 06:10:26",48.754448,34.241104,40.692,3.45,18,"IPA CyberLab","Bunkyo",40.903,37.956,"https://www.speedtest.net/result/c/e5b9d3bc-f067-4cad-b7ee-0cf1b9622a18"
"09/26 06:20:21",52.135312,26.498272,39.779,4.036,0.47619047619047616,"IPA CyberLab","Bunkyo",52.528,32.833,"https://www.speedtest.net/result/c/3372e520-3f6d-4dbf-9d57-254a758e4e3f"
"09/26 06:30:28",81.448968,14.459128,43.508,3.829,17.46031746031746,"IPA CyberLab","Bunkyo",65.98,43.891,"https://www.speedtest.net/result/c/43bf80c4-0080-47e6-9fa8-ae385186960b"
"09/26 06:40:25",49.257536,14.724872,23.948,5.572,0,"IPA CyberLab","Bunkyo",35.318,31.714,"https://www.speedtest.net/result/c/6a4c158c-2382-4f96-b0a0-344e2e099458"
"09/26 06:50:36",83.301784,37.595232,42.742,4.047,0,"IPA CyberLab","Bunkyo",49.534,37.14,"https://www.speedtest.net/result/c/65f6c9ae-6273-4a2b-9055-4ee1bedb9a50"
"09/26 07:00:35",52.800272,22.948432,40.788,3.816,45.982142857142854,"IPA CyberLab","Bunkyo",47.362,44.582,"https://www.speedtest.net/result/c/7ee2a8e1-c16b-4007-ad2b-9509bd94a720"
"09/26 07:20:21",40.692992,39.618368,42.912,11.278,10.606060606060606,"IPA CyberLab","Bunkyo",46.023,35.711,"https://www.speedtest.net/result/c/21ed0043-8843-4385-a458-290bb2e37372"
"09/26 07:30:24",68.647792,31.27468,25.739,4.756,0,"IPA CyberLab","Bunkyo",36.382,30.959,"https://www.speedtest.net/result/c/05e5fdcb-b101-45aa-bac4-4d8c46379535"
"09/26 07:40:29",74.236192,33.699912,38.951,125.984,12.333333333333334,"IPA CyberLab","Bunkyo",41.646,36.754,"https://www.speedtest.net/result/c/8946e19b-56eb-4307-9471-d09cde6622a0"
"09/26 07:50:29",80.139448,37.559056,44.78,7.544,11.333333333333334,"IPA CyberLab","Bunkyo",59.847,40.84,"https://www.speedtest.net/result/c/3595e523-5903-48ab-82e6-dfd575629c72"
"09/26 08:00:38",67.441592,53.789048,38.341,10.85,28.333333333333332,"IPA CyberLab","Bunkyo",37.198,34.531,"https://www.speedtest.net/result/c/d6f99fc5-d23d-4fa6-b370-852c4c019b92"
"09/26 08:10:27",83.044392,30.949656,44.65,7.601,31.666666666666668,"IPA CyberLab","Bunkyo",56.429,37.427,"https://www.speedtest.net/result/c/6150e018-643b-4284-95bb-41316567dfac"
"09/26 08:20:27",76.084608,42.53596,45.154,4.257,22.666666666666668,"IPA CyberLab","Bunkyo",46.963,42.817,"https://www.speedtest.net/result/c/3dd93521-dbc7-4858-808d-a0a64973366e"
"09/26 08:30:39",74.283432,37.699808,35.738,11.902,0,"IPA CyberLab","Bunkyo",37.369,37.209,"https://www.speedtest.net/result/c/3c78158d-e4a2-4a80-abbe-079edab1e7dc"
"09/26 08:40:27",72.96928,39.609016,34.832,6.206,0,"IPA CyberLab","Bunkyo",39.235,31.494,"https://www.speedtest.net/result/c/46e049d1-6ca3-447e-aaf1-62251e069b11"
"09/26 08:50:24",69.033864,46.312704,23.008,8.023,0,"IPA CyberLab","Bunkyo",34.97,27.309,"https://www.speedtest.net/result/c/cc75fe66-ab12-4d36-95ac-16c84cc22eeb"
"09/26 09:00:34",55.524696,43.527136,33.602,9.859,27.333333333333332,"IPA CyberLab","Bunkyo",40.662,34.758,"https://www.speedtest.net/result/c/4e8e0ce0-4852-477b-bda6-c74caba364e4"
"09/26 09:10:36",58.2976,36.988968,45.765,3.053,0,"IPA CyberLab","Bunkyo",48.666,38.659,"https://www.speedtest.net/result/c/f613fb12-9dda-40e1-a006-fb43dc156d58"
"09/26 09:20:28",76.924072,21.0734,32.467,33.546,20.5,"IPA CyberLab","Bunkyo",40.325,43.177,"https://www.speedtest.net/result/c/ba5f9002-656c-493c-b328-29ca06a0a754"
"09/26 09:30:33",53.521496,20.145224,34.839,12.173,7.826086956521739,"IPA CyberLab","Bunkyo",50.956,59.313,"https://www.speedtest.net/result/c/3f1a42a9-e083-403d-b6b9-d2e9dae37f83"
"09/26 09:40:26",64.223744,39.027272,38.037,15.222,3,"IPA CyberLab","Bunkyo",39.376,37.464,"https://www.speedtest.net/result/c/d6b81f50-455b-4feb-b21b-cc31f61d1284"
"09/26 09:50:32",71.01356,22.52548,46.55,4.467,0,"IPA CyberLab","Bunkyo",83.135,67.193,"https://www.speedtest.net/result/c/6c3ba296-e62b-4840-918c-66715ca3831a"
"09/26 10:00:26",65.742576,40.996088,43.337,8.51,29.26829268292683,"IPA CyberLab","Bunkyo",42.862,35.898,"https://www.speedtest.net/result/c/ae8b9dde-43b0-48e0-9369-d20c583bbd8b"
"09/26 10:10:23",86.691896,31.047576,36.783,3.009,0,"IPA CyberLab","Bunkyo",46.832,36.275,"https://www.speedtest.net/result/c/e22e9080-13a9-49e5-a8dc-bf1eb8caf775"
"09/26 10:20:31",80.278168,27.315104,48.404,13.346,42.857142857142854,"IPA CyberLab","Bunkyo",49.579,32.871,"https://www.speedtest.net/result/c/9f6cac34-6ee5-4c5c-9a81-6a71f732bbe4"
"09/26 10:30:22",70.045216,35.957272,41.722,5.426,19.06779661016949,"IPA CyberLab","Bunkyo",54.144,38.868,"https://www.speedtest.net/result/c/b4547a0c-c6dd-4563-a117-1b86a9929c57"
